%time,field.angle,field.distance
1770290539113222767,90.0,40.3
1770290539173289123,90.0,41.3
1770290539193260162,90.0,41.7
1770290539253280270,79.4,43.2
1770290539313164349,90.0,38.9
1770290539333162501,90.0,39.4
1770290539373207973,90.0,41.3
1770290539453210102,90.0,41.3
1770290539473248725,90.0,38.5
1770290539493191309,90.0,42.2
1770290539533066052,73.3,39.4
1770290539553167828,90.0,39.9
1770290539613167904,90.0,38.9
1770290539633205484,90.0,40.3
1770290539653159296,90.0,43.6
1770290539693122824,90.0,39.9
1770290539713127795,90.0,39.4
1770290539753084740,90.0,44.1
1770290539773171711,90.0,38.5
1770290539873191562,90.0,38.9
1770290539933300636,90.0,40.3
1770290539953321033,90.0,39.4
1770290539993137680,90.0,43.2
1770290540113256292,90.0,39.4
1770290540153173135,90.0,42.7
1770290540173191341,90.0,42.2
1770290540213179778,90.0,43.2
1770290540233275676,90.0,39.9
1770290540293160333,90.0,38.5
1770290540313162134,90.0,40.8
1770290540333108289,90.0,41.7
1770290540373292220,90.0,39.9
1770290540393156264,90.0,42.7
1770290540453319291,90.0,39.9
1770290540473163244,90.0,43.2
1770290540513160839,90.0,43.2
1770290540533200594,90.0,37.1
1770290540553170922,77.4,38.5
1770290540593062376,90.0,41.7
1770290540613169991,90.0,41.3
1770290540673077027,90.0,44.1
1770290540693196407,90.0,39.9
1770290540773227528,90.0,41.3
1770290540813153046,90.0,38.9
1770290540833215742,90.0,38.5
1770290540893074895,90.0,40.3
1770290540912994942,90.0,43.2
1770290540933172616,90.0,38.5
